Quarter,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming
2012-01-01,171805.2,4811070.0,35710.0,38971.6,727712.0,53554.0,234167.8,6526567.0,35879.0,106004.7,2948861.0,35948.0,1786135.4,37836357.0,47207.0,232093.1,5167340.0,44915.0,228651.8,3593243.0,63634.0,39794.7,912725.0,43600.0,42550.9,630066.0,67534.0,788129.1,19214245.0,41018.0,367238.4,9867600.0,37217.0,60817.6,1389600.0,43766.0,54946.1,1591693.0,34521.0,586856.4,12879154.0,45566.0,253645.1,6531515.0,38834.0,130368.0,3073385.0,42418.0,130598.0,2880229.0,45343.0,156182.9,4381853.0,35643.0,185299.2,4593160.0,40342.0,53407.0,1328359.0,40205.0,310181.5,5871359.0,52830.0,372614.1,6646131.0,56065.0,384536.1,9893885.0,38866.0,252473.4,5366303.0,47048.0,99699.7,2983108.0,33421.0,239408.2,6021147.0,39761.0,40379.8,1001789.0,40308.0,85966.6,1849093.0,46491.0,107915.9,2733323.0,39482.0,66733.6,1323196.0,50434.0,482710.3,8840690.0,54601.0,74218.8,2085618.0,35586.0,1027687.4,19549806.0,52568.0,374275.6,9718496.0,38512.0,37911.5,696024.0,54469.0,464392.9,11550380.0,40206.0,158498.4,3808393.0,41618.0,151746.2,3890278.0,39007.0,579966.2,12762561.0,45443.0,48133.0,1054634.0,45640.0,167273.2,4702509.0,35571.0,37939.7,830146.0,45702.0,250176.4,6435772.0,38873.0,1133784.6,25924635.0,43734.0,100978.9,2839551.0,35562.0,28214.0,626744.0,45017.0,398734.9,8156690.0,48884.0,319431.3,6872679.0,46478.0,65490.9,1857328.0,35261.0,243324.5,5715700.0,42571.0,30517.8,573272.0,53234.0
2012-04-01,173476.2,4814535.0,36032.0,39289.6,729758.0,53839.0,237047.1,6546070.0,36212.0,107754.5,2951393.0,36510.0,1808358.6,37906496.0,47706.0,234958.8,5184592.0,45319.0,231156.5,3594356.0,64311.0,40299.7,914544.0,44065.0,42954.6,633806.0,67772.0,794829.0,19271676.0,41243.0,369428.7,9891089.0,37350.0,61537.3,1393288.0,44167.0,55683.9,1594423.0,34924.0,593256.9,12881041.0,46057.0,257312.0,6536155.0,39367.0,132374.6,3075503.0,43042.0,130849.0,2883930.0,45372.0,157636.8,4385631.0,35944.0,188782.5,4598869.0,41050.0,53948.3,1328110.0,40620.0,310706.6,5882389.0,52820.0,377892.9,6657817.0,56759.0,386851.3,9896307.0,39090.0,255876.9,5373443.0,47619.0,100586.5,2983972.0,33709.0,242348.7,6024079.0,40230.0,40665.7,1003326.0,40531.0,87009.1,1852046.0,46980.0,108874.9,2740745.0,39725.0,67368.5,1324114.0,50878.0,484616.7,8843519.0,54799.0,75000.7,2086893.0,35939.0,1043921.4,19565103.0,53356.0,379253.6,9740207.0,38937.0,39309.7,700126.0,56147.0,470769.4,11550166.0,40759.0,160399.3,3815481.0,42039.0,153113.3,3896594.0,39294.0,584913.1,12766200.0,45817.0,48384.2,1054745.0,45873.0,168656.2,4713302.0,35783.0,38155.4,832573.0,45828.0,253854.7,6448766.0,39365.0,1147435.9,26029555.0,44082.0,102270.0,2849129.0,35895.0,28587.8,626456.0,45634.0,401952.9,8176769.0,49158.0,324773.2,6889589.0,47140.0,66139.4,1857306.0,35610.0,245255.9,5718783.0,42886.0,31226.6,575512.0,54259.0
2012-07-01,171972.3,4819450.0,35683.0,39137.2,731774.0,53483.0,235982.2,6567653.0,35931.0,106758.9,2954412.0,36135.0,1808445.3,37991364.0,47601.0,234350.9,5204311.0,45030.0,228599.1,3596017.0,63570.0,40098.2,916774.0,43738.0,42599.8,637854.0,66786.0,794151.4,19337994.0,41067.0,368727.4,9914324.0,37191.0,61333.5,1397207.0,43897.0,55914.4,1598225.0,34985.0,590479.6,12887208.0,45819.0,257944.8,6544158.0,39416.0,131265.1,3079620.0,42624.0,128792.9,2887660.0,44601.0,156937.5,4391029.0,35740.0,187982.7,4605928.0,40813.0,53523.8,1328397.0,40292.0,311223.0,5894118.0,52802.0,376310.8,6671897.0,56402.0,387053.9,9902300.0,39087.0,255950.5,5383167.0,47546.0,99791.2,2985804.0,33422.0,241283.1,6029316.0,40018.0,40655.3,1005616.0,40428.0,85664.4,1855590.0,46166.0,108201.8,2749278.0,39356.0,67436.2,1325232.0,50886.0,485208.2,8849071.0,54832.0,74287.9,2088861.0,35564.0,1041263.1,19584992.0,53166.0,379824.7,9765593.0,38894.0,40009.8,704985.0,56753.0,469607.4,11556832.0,40635.0,159915.6,3824416.0,41814.0,153043.1,3903942.0,39202.0,586267.9,12773148.0,45898.0,48260.7,1055189.0,45737.0,168357.6,4725907.0,35624.0,36471.6,835136.0,43672.0,253963.2,6462115.0,39300.0,1143935.9,26138928.0,43764.0,101873.8,2860211.0,35618.0,28334.1,626500.0,45226.0,402135.2,8197539.0,49056.0,325372.0,6908431.0,47098.0,65552.5,1857480.0,35291.0,244138.5,5724075.0,42651.0,30746.5,577517.0,53239.0
2012-10-01,176192.9,4824247.0,36522.0,39665.6,733633.0,54067.0,244039.0,6588918.0,37038.0,110991.0,2956967.0,37535.0,1905728.1,38078439.0,50047.0,245633.6,5224650.0,47014.0,236277.0,3596976.0,65688.0,41380.6,919131.0,45021.0,43937.0,641931.0,68445.0,825097.5,19405817.0,42518.0,380432.6,9934335.0,38295.0,62539.8,1401075.0,44637.0,58163.8,1602602.0,36293.0,609701.3,12893225.0,47289.0,263643.9,6553369.0,40230.0,134628.0,3084580.0,43645.0,133552.6,2890368.0,46206.0,159785.6,4396652.0,36343.0,192978.7,4612909.0,41834.0,54250.8,1328801.0,40827.0,316591.9,5904654.0,53617.0,390253.5,6685993.0,58369.0,399735.3,9908585.0,40342.0,264356.1,5393572.0,49013.0,101431.4,2987768.0,33949.0,248885.5,6034836.0,41241.0,41978.1,1008349.0,41631.0,88376.9,1859011.0,47540.0,112397.0,2758018.0,40753.0,69882.6,1326141.0,52696.0,497575.4,8854252.0,56196.0,75394.0,2090696.0,36062.0,1083760.9,19602725.0,55286.0,387288.3,9791437.0,39554.0,41953.9,710370.0,59059.0,482045.7,11566474.0,41676.0,165700.2,3833906.0,43220.0,156289.2,3910830.0,39963.0,599516.7,12778632.0,46916.0,49229.0,1055580.0,46637.0,172453.6,4738826.0,36392.0,38810.1,837520.0,46339.0,259888.3,6473762.0,40145.0,1185744.5,26243963.0,45182.0,106840.4,2871895.0,37202.0,29081.7,626676.0,46406.0,413895.9,8216385.0,50374.0,337218.9,6926861.0,48683.0,66411.3,1857212.0,35759.0,252250.1,5729554.0,44026.0,32307.7,579111.0,55788.0
2013-01-01,174319.6,4826744.0,36115.0,38716.5,735202.0,52661.0,240161.4,6606778.0,36351.0,107782.3,2958048.0,36437.0,1817215.5,38147665.0,47636.0,243637.9,5242534.0,46473.0,224780.3,3596110.0,62507.0,40525.3,921048.0,43999.0,43233.1,645734.0,66952.0,792654.6,19462774.0,40727.0,372655.3,9950131.0,37452.0,61799.5,1404282.0,44008.0,57248.3,1606165.0,35643.0,602941.2,12893027.0,46765.0,261592.5,6559406.0,39881.0,134087.6,3087847.0,43424.0,131477.6,2891588.0,45469.0,158768.9,4400168.0,36082.0,190285.7,4617805.0,41207.0,53378.2,1328488.0,40180.0,310255.1,5912502.0,52474.0,378068.4,6696783.0,56455.0,389620.6,9909949.0,39316.0,256546.9,5401263.0,47498.0,101395.8,2988374.0,33930.0,243821.6,6037310.0,40386.0,40921.8,1010541.0,40495.0,87496.6,1861479.0,47004.0,108448.7,2765446.0,39216.0,67024.3,1326389.0,50531.0,487609.8,8855019.0,55066.0,73208.5,2091472.0,35003.0,1047410.0,19610887.0,53410.0,374430.5,9812681.0,38158.0,39037.6,715367.0,54570.0,474300.1,11570308.0,40993.0,166557.0,3841525.0,43357.0,153959.7,3915672.0,39319.0,587324.8,12777351.0,45966.0,48251.6,1055435.0,45717.0,169424.2,4749515.0,35672.0,38379.9,839507.0,45717.0,255561.6,6482300.0,39425.0,1161145.8,26336948.0,44088.0,104333.2,2882301.0,36198.0,28613.5,626557.0,45668.0,400197.0,8231447.0,48618.0,328722.9,6941917.0,47353.0,65517.2,1855941.0,35301.0,245126.1,5732112.0,42764.0,30923.8,580443.0,53276.0
2013-04-01,175041.3,4829571.0,36244.0,38734.6,736761.0,52574.0,243169.5,6624834.0,36706.0,108226.1,2959393.0,36570.0,1848098.9,38215641.0,48360.0,247909.1,5260921.0,47123.0,225597.0,3595567.0,62743.0,41058.3,922974.0,44485.0,43619.0,649554.0,67152.0,798704.7,19520194.0,40917.0,376518.0,9966307.0,37779.0,62200.0,1407202.0,44201.0,58319.5,1609951.0,36224.0,608912.5,12893754.0,47225.0,261639.5,6566264.0,39846.0,134803.6,3091607.0,43603.0,134218.1,2893130.0,46392.0,158918.4,4404266.0,36083.0,191316.2,4622899.0,41384.0,53582.1,1328400.0,40336.0,311095.4,5920461.0,52546.0,381841.1,6708392.0,56920.0,393010.7,9912295.0,39649.0,258650.7,5409712.0,47812.0,101780.1,2989108.0,34050.0,244912.2,6040524.0,40545.0,41270.8,1012857.0,40747.0,87591.5,1864178.0,46987.0,109294.1,2772897.0,39415.0,67597.7,1326867.0,50945.0,491490.4,8856121.0,55497.0,73466.6,2092214.0,35114.0,1060933.2,19619596.0,54075.0,375059.2,9834542.0,38137.0,39871.3,720484.0,55340.0,478700.9,11575504.0,41355.0,169090.0,3849433.0,43926.0,155553.8,3920937.0,39673.0,593783.8,12777561.0,46471.0,48335.5,1055408.0,45798.0,170525.2,4760425.0,35821.0,38491.3,841590.0,45736.0,255990.8,6491499.0,39435.0,1179827.0,26430062.0,44640.0,105955.5,2893049.0,36624.0,28969.9,626526.0,46239.0,401232.5,8247055.0,48652.0,331542.2,6957544.0,47652.0,65636.9,1854979.0,35384.0,247482.6,5735486.0,43149.0,31067.0,581852.0,53393.0
2013-07-01,176099.1,4833698.0,36432.0,39155.8,737598.0,53086.0,244888.4,6647932.0,36837.0,108785.2,2961854.0,36729.0,1867393.2,38300046.0,48757.0,251338.8,5281593.0,47588.0,226493.0,3596230.0,62981.0,41205.8,925323.0,44531.0,43728.4,653127.0,66952.0,805807.8,19592780.0,41128.0,377984.3,9988531.0,37842.0,62699.2,1409708.0,44477.0,58845.7,1614746.0,36443.0,611306.8,12895991.0,47403.0,261788.6,6574413.0,39819.0,135381.5,3096387.0,43722.0,134547.8,2895601.0,46466.0,159450.8,4408605.0,36168.0,191779.8,4629052.0,41430.0,53781.6,1329027.0,40467.0,311284.3,5930243.0,52491.0,383785.4,6722067.0,57093.0,394933.5,9918157.0,39819.0,261442.8,5420021.0,48236.0,103602.4,2990433.0,34645.0,245632.9,6045688.0,40629.0,41437.8,1015354.0,40811.0,87583.1,1867790.0,46891.0,110246.0,2782571.0,39620.0,67845.8,1328276.0,51078.0,492748.0,8860153.0,55614.0,73521.8,2092855.0,35130.0,1066428.8,19632273.0,54320.0,376443.3,9859203.0,38182.0,40435.5,725161.0,55761.0,480405.8,11584421.0,41470.0,170278.7,3857504.0,44142.0,156891.3,3929794.0,39924.0,594934.5,12782814.0,46542.0,48634.3,1055797.0,46064.0,172570.3,4774621.0,36143.0,38423.1,843707.0,45541.0,256858.5,6503636.0,39495.0,1192380.3,26543248.0,44922.0,107138.4,2903938.0,36894.0,29021.5,626547.0,46320.0,401336.7,8264158.0,48564.0,336183.4,6978453.0,48174.0,65479.4,1854470.0,35309.0,248871.3,5740541.0,43353.0,31258.0,582749.0,53639.0
2013-10-01,175281.1,4837723.0,36232.0,39305.2,737598.0,53288.0,246790.0,6674067.0,36977.0,108677.5,2964523.0,36659.0,1896095.8,38391267.0,49389.0,255164.9,5302999.0,48117.0,227833.1,3596926.0,63341.0,41611.9,927790.0,44851.0,44208.8,656243.0,67366.0,814735.8,19673396.0,41413.0,381651.3,10014254.0,38111.0,63386.3,1411653.0,44902.0,59201.4,1620112.0,36542.0,615953.8,12895776.0,47764.0,261788.6,6581934.0,39774.0,134758.6,3101156.0,43454.0,135676.1,2898040.0,46816.0,159761.0,4411917.0,36211.0,192607.4,4634936.0,41556.0,54226.1,1329971.0,40772.0,313461.3,5940158.0,52770.0,386749.4,6735647.0,57418.0,396742.2,9924425.0,39976.0,262486.7,5430449.0,48336.0,102491.2,2991539.0,34260.0,246433.1,6050882.0,40727.0,41659.5,1017692.0,40935.0,86923.6,1871667.0,46442.0,111493.3,2793671.0,39909.0,68347.0,1330249.0,51379.0,498104.7,8864331.0,56192.0,74050.2,2092754.0,35384.0,1073769.7,19642985.0,54664.0,379636.6,9883809.0,38410.0,40389.8,729201.0,55389.0,482948.1,11593358.0,41657.0,171604.8,3864639.0,44404.0,158115.3,3940928.0,40121.0,598685.3,12788570.0,46814.0,48957.5,1056231.0,46351.0,173949.2,4790720.0,36310.0,38169.3,845593.0,45139.0,258604.5,6516790.0,39683.0,1206008.9,26669434.0,45221.0,107277.7,2914286.0,36811.0,29252.5,626431.0,46697.0,403971.0,8280569.0,48785.0,338606.2,7002593.0,48354.0,65657.6,1853790.0,35418.0,249909.4,5745383.0,43497.0,31711.5,582992.0,54394.0
2014-01-01,176964.1,4840041.0,36563.0,40486.2,737379.0,54905.0,252123.8,6697498.0,37644.0,111803.6,2966087.0,37694.0,1923713.3,38469171.0,50007.0,263910.9,5322563.0,49583.0,231637.3,3596282.0,64410.0,42202.7,929931.0,45383.0,45812.6,659182.0,69499.0,834947.8,19745612.0,42285.0,392278.1,10036885.0,39084.0,64590.2,1413153.0,45706.0,60010.8,1624860.0,36933.0,626125.4,12891026.0,48571.0,266255.6,6587163.0,40420.0,136201.9,3104697.0,43870.0,133848.8,2899384.0,46165.0,163272.5,4413643.0,36993.0,196440.1,4639264.0,42343.0,54579.0,1330382.0,41025.0,316118.0,5948079.0,53146.0,391462.7,6746877.0,58021.0,401806.1,9927023.0,40476.0,266226.1,5438894.0,48949.0,102973.4,2991690.0,34420.0,248717.6,6053838.0,41084.0,42478.0,1019613.0,41661.0,90095.3,1874850.0,48055.0,113685.9,2803736.0,40548.0,68815.9,1331754.0,51673.0,506778.8,8865269.0,57165.0,75878.7,2091759.0,36275.0,1084611.5,19646738.0,55206.0,389203.3,9904934.0,39294.0,41621.2,732949.0,56786.0,488978.4,11598029.0,42160.0,177006.5,3870317.0,45734.0,161893.8,3950501.0,40981.0,606916.5,12789410.0,47455.0,49783.2,1056280.0,47131.0,177753.3,4805118.0,36992.0,39393.6,847176.0,46500.0,262821.4,6527636.0,40263.0,1242659.3,26786541.0,46391.0,110039.9,2923667.0,37638.0,29405.1,626083.0,46967.0,411129.0,8294237.0,49568.0,348896.0,7024167.0,49671.0,66405.1,1852355.0,35849.0,252761.5,5748087.0,43973.0,32605.0,583010.0,55925.0
2014-04-01,179958.8,4842263.0,37164.0,41091.7,737141.0,55745.0,255360.9,6720717.0,37996.0,114221.9,2967707.0,38488.0,1960824.8,38545506.0,50870.0,269442.8,5342297.0,50436.0,235224.4,3595694.0,65418.0,42781.1,932018.0,45902.0,46483.2,662096.0,70206.0,854350.9,19816711.0,43113.0,399723.3,10059248.0,39737.0,65691.5,1414508.0,46441.0,61416.0,1629696.0,37686.0,634994.1,12886369.0,49276.0,271092.3,6592696.0,41120.0,139589.8,3108471.0,44906.0,136288.8,2900858.0,46982.0,165988.5,4415628.0,37591.0,199669.9,4643471.0,43000.0,55527.4,1330864.0,41723.0,320928.3,5955756.0,53885.0,396910.8,6758464.0,58728.0,408879.7,9929819.0,41177.0,271663.1,5447733.0,49867.0,104330.6,2991687.0,34874.0,252947.0,6057011.0,41761.0,43433.9,1021587.0,42516.0,92639.9,1878137.0,49325.0,116214.1,2813719.0,41303.0,70260.5,1333340.0,52695.0,512327.1,8866121.0,57785.0,77407.2,2090634.0,37026.0,1095437.4,19650158.0,55747.0,395281.1,9925984.0,39823.0,42944.2,736761.0,58288.0,495656.8,11603082.0,42718.0,180012.6,3876019.0,46443.0,165692.2,3960240.0,41839.0,615423.8,12790667.0,48115.0,50242.1,1056384.0,47560.0,181911.4,4819379.0,37746.0,40335.8,848794.0,47521.0,266253.1,6538608.0,40720.0,1268289.2,26902775.0,47143.0,111609.7,2933273.0,38050.0,29939.4,625788.0,47843.0,417013.7,8307925.0,50195.0,356134.2,7046003.0,50544.0,67528.9,1851065.0,36481.0,257421.5,5751138.0,44760.0,33405.1,583076.0,57291.0
2014-07-01,182473.3,4846064.0,37654.0,41423.0,737359.0,56177.0,258837.9,6746899.0,38364.0,115468.9,2970703.0,38869.0,2003994.1,38633979.0,51871.0,273541.6,5366342.0,50974.0,238584.5,3595527.0,66356.0,43327.8,934449.0,46367.0,47193.7,665403.0,70925.0,869565.2,19904457.0,43687.0,406331.1,10086928.0,40283.0,66591.6,1416537.0,47010.0,62253.6,1635093.0,38073.0,642134.8,12884398.0,49838.0,274213.8,6599132.0,41553.0,140519.9,3112759.0,45143.0,138148.3,2903551.0,47579.0,167673.8,4419292.0,37941.0,201776.3,4649423.0,43398.0,56165.7,1331210.0,42191.0,325097.1,5964752.0,54503.0,405208.4,6770207.0,59852.0,413954.5,9934281.0,41669.0,276456.2,5457609.0,50655.0,104513.1,2992236.0,34928.0,256406.2,6062333.0,42295.0,43908.6,1023981.0,42880.0,92865.2,1881827.0,49348.0,118344.0,2825704.0,41881.0,70643.4,1334897.0,52920.0,518437.2,8869488.0,58452.0,78659.8,2090711.0,37623.0,1113591.3,19657917.0,56648.0,401312.0,9951699.0,40326.0,43124.8,740967.0,58201.0,502440.6,11610840.0,43273.0,182222.0,3883917.0,46917.0,168960.0,3972929.0,42528.0,623265.9,12794805.0,48712.0,50818.3,1056775.0,48088.0,184521.5,4836452.0,38152.0,40446.3,850465.0,47558.0,268547.6,6552182.0,40986.0,1287005.1,27031296.0,47612.0,113223.5,2944458.0,38453.0,30475.9,625816.0,48698.0,421932.2,8323423.0,50692.0,364020.1,7072632.0,51469.0,68169.4,1850033.0,36848.0,259671.8,5755512.0,45117.0,33915.9,583678.0,58107.0
2014-10-01,184918.8,4849924.0,38128.0,41839.0,737840.0,56705.0,262766.6,6773603.0,38793.0,117478.9,2974146.0,39500.0,2034415.2,38722364.0,52539.0,278745.3,5392848.0,51688.0,241580.1,3594551.0,67207.0,43814.9,936917.0,46765.0,47631.5,668905.0,71208.0,886785.5,20001458.0,44336.0,412831.2,10117037.0,40806.0,67273.4,1418802.0,47416.0,63525.1,1640511.0,38723.0,651305.6,12880835.0,50564.0,277418.1,6604327.0,42006.0,141813.6,3116417.0,45505.0,139229.0,2906374.0,47905.0,169933.5,4423220.0,38418.0,203289.4,4655719.0,43664.0,57182.2,1330994.0,42962.0,327609.3,5973230.0,54846.0,413748.1,6779761.0,61027.0,419439.0,9937106.0,42209.0,279606.5,5466555.0,51149.0,105204.8,2992483.0,35156.0,259199.0,6067744.0,42718.0,44402.5,1026438.0,43259.0,94495.8,1885254.0,50124.0,121244.9,2838765.0,42710.0,72285.1,1335970.0,54107.0,524517.2,8872312.0,59118.0,79954.6,2091237.0,38233.0,1129991.1,19663546.0,57466.0,406601.7,9978858.0,40746.0,43588.3,745337.0,58481.0,508502.4,11617341.0,43771.0,182634.8,3892625.0,46918.0,171763.3,3987115.0,43080.0,630711.3,12797163.0,49285.0,51741.1,1057087.0,48947.0,187144.4,4854882.0,38548.0,40833.2,851895.0,47932.0,271532.9,6566296.0,41353.0,1300593.8,27163480.0,47880.0,115607.6,2956304.0,39105.0,30963.3,625973.0,49464.0,427243.5,8338128.0,51240.0,369712.3,7101606.0,52060.0,68954.1,1848649.0,37300.0,263536.2,5759145.0,45760.0,34271.4,584599.0,58624.0
